Starters,Team,Home,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Andrew Wiggins,GSW,0,1,31.233333333333334,4,16,2,6,3,4,0,2,2,1,0,1,4,4,13,-28,.366,.313,.375,.250,0.0,6.5,3.0,5.0,0.0,2.7,18.4,26.3,63,118,-14.0
Stephen Curry,GSW,0,1,30.316666666666666,7,21,2,10,4,4,3,1,4,10,2,0,3,1,20,-23,.439,.381,.476,.190,8.3,3.4,6.1,61.1,2.9,0.0,11.6,32.1,99,114,6.0
Kelly Oubre,GSW,0,1,25.65,3,14,0,6,0,0,4,3,7,2,1,2,3,1,6,-28,.214,.214,.429,.000,13.1,11.9,12.6,11.9,1.7,6.6,17.6,25.0,54,110,-11.0
James Wiseman,GSW,0,1,24.283333333333335,7,13,1,1,4,8,1,5,6,0,2,0,1,2,19,-10,.575,.577,.077,.615,3.5,21.0,11.4,0.0,3.6,0.0,5.7,27.2,107,107,3.3
Eric Paschall,GSW,0,1,21.55,2,6,1,1,1,2,1,0,1,0,0,1,0,1,6,-28,.436,.417,.167,.333,3.9,0.0,2.1,0.0,0.0,3.9,0.0,12.1,96,119,-6.9
Brad Wanamaker,GSW,0,0,21.666666666666668,0,2,0,1,3,4,0,1,1,3,0,0,1,2,3,1,.399,.000,.500,2.000,0.0,4.7,2.1,18.0,0.0,0.0,21.0,8.3,90,120,-11.2
Jordan Poole,GSW,0,0,17.916666666666668,1,4,0,1,0,0,0,2,2,3,0,0,2,2,2,-3,.250,.250,.250,.000,0.0,11.4,5.2,23.4,0.0,0.0,33.3,12.6,54,118,-13.9
Juan Toscano-Anderson,GSW,0,0,13.25,2,2,0,0,0,0,0,4,4,2,0,2,0,3,4,-9,1.000,1.000,.000,.000,0.0,30.8,13.9,24.4,0.0,12.7,0.0,5.7,207,104,5.8
Marquese Chriss,GSW,0,0,12.433333333333334,4,10,1,3,0,0,3,5,8,1,0,0,0,2,9,-6,.450,.450,.300,.000,20.3,41.1,29.7,17.9,0.0,0.0,0.0,30.4,103,109,2.3
Damion Lee,GSW,0,0,12.233333333333333,1,2,1,1,0,0,1,6,7,2,0,0,0,0,3,8,.750,.750,.500,.000,6.9,50.1,26.4,23.7,0.0,0.0,0.0,6.2,169,106,4.6
Kent Bazemore,GSW,0,0,11.583333333333334,1,2,0,1,0,0,0,2,2,2,1,0,2,3,2,-3,.500,.500,.500,.000,0.0,17.6,8.0,25.2,3.7,0.0,50.0,13.0,63,107,-9.1
Kevon Looney,GSW,0,0,11.283333333333333,2,4,0,0,0,1,0,2,2,0,0,0,2,3,4,-10,.450,.500,.000,.250,0.0,18.1,8.2,0.0,0.0,0.0,31.1,21.6,54,116,-18.8
Mychal Mulder,GSW,0,0,6.6,3,3,2,2,0,0,0,1,1,0,0,0,0,0,8,9,1.333,1.333,.667,.000,0.0,15.5,7.0,0.0,0.0,0.0,0.0,17.2,267,117,27.8
Kyrie Irving,BRK,1,1,25.3,10,16,4,7,2,2,1,3,4,4,0,0,1,3,26,32,.770,.750,.438,.125,4.0,10.0,7.3,33.0,0.0,0.0,5.6,26.9,152,98,11.9
Kevin Durant,BRK,1,1,24.933333333333334,7,16,1,2,7,7,1,4,5,3,3,1,1,3,22,26,.577,.469,.125,.438,4.1,13.5,9.3,20.2,5.2,2.9,5.0,30.7,127,83,9.7
Joe Harris,BRK,1,1,20.766666666666666,4,8,2,5,0,0,2,5,7,2,0,1,2,2,10,21,.625,.625,.625,.000,9.8,20.3,15.6,14.1,0.0,3.5,20.0,18.3,113,91,1.3
Spencer Dinwiddie,BRK,1,1,19.95,2,6,1,3,4,4,0,5,5,4,0,0,3,1,9,24,.580,.417,.500,.667,0.0,21.1,11.6,25.9,0.0,0.0,27.9,20.5,103,94,-3.7
DeAndre Jordan,BRK,1,1,17.05,2,3,0,0,0,2,2,9,11,1,1,1,3,2,4,21,.515,.667,.000,.667,12.0,44.5,29.8,7.7,2.5,4.3,43.6,15.4,72,76,-3.7
Caris LeVert,BRK,1,0,24.816666666666666,6,17,3,5,5,6,1,8,9,5,2,1,2,1,20,18,.509,.441,.294,.353,4.1,27.1,16.7,31.8,3.5,2.9,9.2,33.2,112,82,6.9
Landry Shamet,BRK,1,0,19.716666666666665,1,4,1,4,3,4,0,1,1,0,1,0,2,3,6,12,.521,.375,1.000,1.000,0.0,4.3,2.3,0.0,2.2,0.0,25.8,15.0,82,95,-8.7
Jarrett Allen,BRK,1,0,19.616666666666667,2,3,0,0,4,5,3,4,7,2,1,2,2,0,8,12,.769,.667,.000,1.667,15.6,17.2,16.5,13.2,2.2,7.4,27.8,14.0,133,86,6.7
Jeff Green,BRK,1,0,17.283333333333335,3,4,1,2,0,0,0,0,0,1,1,0,1,3,7,6,.875,.875,.500,.000,0.0,0.0,0.0,8.2,2.5,0.0,20.0,11.0,133,95,0.5
Taurean Prince,BRK,1,0,16.1,0,1,0,1,1,2,0,1,1,0,1,1,0,1,1,3,.266,.000,1.000,2.000,0.0,5.2,2.9,0.0,2.7,4.5,0.0,4.4,64,91,-3.3
Reggie Perry,BRK,1,0,7.766666666666667,1,3,0,1,0,0,1,1,2,1,0,0,0,0,2,-8,.333,.333,.333,.000,13.1,10.8,11.9,17.3,0.0,0.0,0.0,14.7,106,98,-3.8
Bruce Brown,BRK,1,0,7.516666666666667,1,3,0,1,0,0,0,1,1,1,0,0,2,1,2,-7,.333,.333,.333,.000,0.0,11.2,6.1,17.9,0.0,0.0,40.0,25.3,51,97,-21.0
Timothé Luwawu-Cabarrot,BRK,1,0,6.6,2,6,1,3,0,0,1,1,2,0,0,0,1,2,5,-9,.417,.417,.500,.000,15.5,12.8,14.0,0.0,0.0,0.0,14.3,40.4,80,96,-17.4
Rodions Kurucs,BRK,1,0,6.6,1,1,1,1,0,0,0,1,1,0,0,0,0,0,3,-9,1.500,1.500,1.000,.000,0.0,12.8,7.0,0.0,0.0,0.0,0.0,5.8,300,97,8.7
Tyler Johnson,BRK,1,0,5.983333333333333,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,-12,.000,.000,.000,.000,17.1,0.0,7.7,0.0,7.3,0.0,0.0,6.4,67,86,-0.1
